Datum,Latitude,Longitude,UUID,MOVEMENT_C,MOVEMENT_D,Rainfall_7d_mm,Rainfall_14d_mm,Rainfall_21d_mm,BIO01_Historical_Mean,BIO05_Historical_Max,BIO06_Historical_Min,BIO12_Historical_Prec,BIO13_Historical_Prec,BIO15_Historical_Prec,Elevation,Slope
2024-10-02 00:00:00,46.70025318766257,12.370473526391768,88312458-fa9c-11ef-b94d-ea6559d31cf8,2.0,Gleitung rotational/translational,1.66436767578125,0.64,0.2,3.4583333,16.5,-7.7,1121.0,151.0,37.174004,1751,18
2024-03-02 00:00:00,46.72475733759582,11.882005300940516,f1cb0346-bd1d-11ef-84d1-0242ac120012,2.0,Gleitung rotational/translational,22.8045654296875,36.76,7.48,5.866667,19.9,-6.1,818.0,123.0,48.89629,1377,20
2024-07-20 17:00:00,46.52610318791323,11.734756064414018,0271563c-0f99-11f0-82ec-c270514588df,5.0,Schnelles Fliessen (Mure),0.3100000023841858,0.26,0.39,0.8875,12.9,-9.2,981.0,130.0,35.274235,2295,27
2024-03-11 00:00:00,46.566466465786434,11.521634676710686,c307625e-0afa-11f0-84e3-c270514588df,5.0,Schnelles Fliessen (Mure),39.49749755859375,25.58,38.1,9.7625,25.3,-3.9,774.0,96.0,36.32468,641,10
2024-06-04 00:00:00,46.75969287038833,11.870043963369994,9b9cd8de-0afa-11f0-abb1-c270514588df,5.0,Schnelles Fliessen (Mure),4.6910400390625,0.0,0.55,7.2208333,22.1,-5.8,792.0,117.0,45.489567,1052,11
2024-04-01 00:00:00,46.94767585473534,11.378002835421038,b5222930-1388-11f0-9c02-c270514588df,2.0,Gleitung rotational/translational,32.7593994140625,11.38,4.21,4.6208334,18.5,-6.8,881.0,125.0,46.23678,1516,18
2024-04-01 00:00:00,46.9473952832723,11.3779352366532,a7a0417a-1388-11f0-9c02-c270514588df,2.0,Gleitung rotational/translational,32.7593994140625,11.38,4.21,4.6208334,18.5,-6.8,881.0,125.0,46.23678,1516,18
2024-04-01 00:00:00,46.94709615408428,11.378690394948324,9a30eb98-1388-11f0-895b-c270514588df,5.0,Schnelles Fliessen (Mure),32.7593994140625,11.38,4.21,4.6208334,18.5,-6.8,881.0,125.0,46.23678,1516,18
2024-04-01 00:00:00,46.946773040112575,11.379843171799802,868dfa7c-1388-11f0-895b-c270514588df,5.0,Schnelles Fliessen (Mure),32.7593994140625,11.38,4.21,4.6208334,18.5,-6.8,881.0,125.0,46.23678,1516,18
2024-07-11 09:00:00,46.75993691280068,11.847925174873554,37a0dbcc-0afb-11f0-9778-c270514588df,5.0,Schnelles Fliessen (Mure),0.1199999973177909,0.04,0.52,5.7458334,19.9,-6.1,824.0,123.0,48.562717,1396,25
2024-07-13 03:00:00,46.56029869252121,11.626056480960663,b050dfb0-dc82-11ef-9444-0242ac12000f,5.0,Schnelles Fliessen (Mure),0.449999988079071,0.61,0.12,4.425,17.9,-6.5,766.0,109.0,46.537373,1729,25
2024-07-11 23:00:00,46.87445344187565,11.632217912804444,71103b34-dc82-11ef-ad9c-0242ac12000f,5.0,Schnelles Fliessen (Mure),0.3300000131130218,0.0,0.34,3.8,17.1,-7.3,947.0,134.0,44.219204,1711,18
2024-07-15 20:00:00,46.48011221071735,11.262021555596016,66957c4c-d96b-11ef-b0e8-0242ac12000f,2.0,Gleitung rotational/translational,0.0399999991059303,0.03,1.45,11.354167,27.4,-3.0,815.0,99.0,32.560555,337,4
2024-07-18 04:00:00,46.68544408885043,11.857774480107144,519dec02-d96b-11ef-b0e8-0242ac12000f,5.0,Schnelles Fliessen (Mure),0.3199999928474426,0.01,0.02,5.3875,19.3,-6.3,844.0,125.0,48.053036,1454,4
2024-07-17 18:00:00,46.7067818047877,11.92565708488216,a5216174-f2b1-11ef-8b28-0242ac120004,5.0,Schnelles Fliessen (Mure),0.0199999995529651,0.0,0.02,6.3416667,20.9,-6.3,789.0,116.0,46.1671,1215,3
