Latitude,Longitude,Elevation,Slope,BIO01_Historical_Mean,BIO05_Historical_Max,BIO06_Historical_Min,BIO12_Historical_Prec,BIO13_Historical_Prec,BIO15_Historical_Prec,Target,Aspect
46.62652354124516,10.943841935189424,669,17,9.408334,25.0,-4.0,685.0,87.0,36.70937,1,342
46.52151048099524,11.264253569060376,313,14,11.212501,27.1,-3.0,817.0,99.0,32.446796,1,213
46.64861464532045,11.854056145315123,1712,18,4.2083335,17.6,-6.9,963.0,137.0,43.76395,1,138
46.64787034984689,11.852191378140448,1712,18,4.2083335,17.6,-6.9,963.0,137.0,43.76395,1,138
46.58106323102008,11.912079676236733,1521,10,4.7291665,18.8,-7.2,877.0,128.0,47.7739,1,356
46.672142602768986,11.169187763553072,365,3,10.975,26.9,-3.0,796.0,96.0,33.547344,1,231
46.65029430118548,11.135805778161394,447,22,10.3625,26.0,-3.2,768.0,94.0,34.60062,1,85
46.76298064219909,12.066583086650136,1159,7,6.5,21.2,-6.5,765.0,115.0,46.149754,1,175
46.56474211054189,11.336796933951172,847,11,8.845833,23.9,-3.9,708.0,91.0,40.03786,1,77
46.721186155253,11.328648971632836,1357,12,5.8,20.0,-5.9,726.0,102.0,48.367306,1,88
46.60242389448595,11.915646191873424,1592,16,4.4125,18.3,-7.3,908.0,131.0,46.68344,1,256
46.63163640711229,10.715930680815411,1071,9,7.775,22.7,-5.3,568.0,78.0,42.054058,1,168
46.46832642739838,11.2306621940898,958,29,8.541667,23.5,-4.3,644.0,84.0,42.453453,1,85
46.72296137453804,11.955631857260682,1701,13,4.1041665,17.5,-7.0,959.0,136.0,43.538994,1,202
46.72296708943532,11.951003130370454,1701,13,4.1041665,17.5,-7.0,959.0,136.0,43.538994,1,202
46.50540291235454,11.502401596184503,846,8,8.970834,24.3,-4.2,726.0,92.0,39.14431,1,358
46.75554984880892,12.239903279222483,1483,8,4.954167,19.0,-7.3,914.0,132.0,43.757404,1,152
46.758055890427954,12.24458847920171,1527,10,4.741667,18.7,-7.3,942.0,135.0,43.210632,1,272
46.76013471607765,12.23768784317942,1592,11,4.4375,18.1,-7.3,985.0,139.0,41.77464,1,163
46.74363326221582,12.228961150062972,1376,12,5.4416666,19.8,-7.2,840.0,124.0,44.660427,1,156
46.63204000438768,10.714924020369716,1071,9,7.775,22.7,-5.3,568.0,78.0,42.054058,1,168
46.759081908167865,12.26130706815689,1652,8,4.0583334,17.6,-7.6,1028.0,144.0,40.94664,1,241
46.7613255142583,12.240269943451406,1592,11,4.4375,18.1,-7.3,985.0,139.0,41.77464,1,163
46.741654780876345,12.22789888865138,1304,9,5.775,20.4,-7.2,791.0,118.0,45.677338,1,230
46.743625325976645,12.220102462111294,1510,16,4.9083333,18.9,-7.2,913.0,132.0,42.910614,1,168
46.76034609015564,11.783954816123524,1852,17,3.6875,16.6,-7.0,965.0,133.0,41.283073,1,226
46.686077656924304,11.892476423846905,1121,4,6.854167,21.6,-6.1,785.0,115.0,46.49346,1,197
46.68471838140809,11.89388406720843,1121,4,6.854167,21.6,-6.1,785.0,115.0,46.49346,1,197
46.95368408625623,11.362479254241515,1358,12,5.1,19.3,-6.7,886.0,125.0,46.118145,1,48
46.788499996499816,11.950766690415678,905,2,7.7166667,23.0,-5.9,818.0,117.0,42.28574,1,333
46.9189940225061,11.798804122252683,1525,9,4.0125,18.0,-7.9,974.0,140.0,44.83664,1,110
46.92023130520921,11.790426888456318,1695,13,3.225,16.8,-8.2,1020.0,144.0,42.59111,1,48
46.92170271868026,11.790269396827457,1695,13,3.225,16.8,-8.2,1020.0,144.0,42.59111,1,48
46.835484134011736,11.478829872683807,1391,13,5.2833333,19.5,-6.3,817.0,115.0,48.25622,1,115
47.02531923200996,12.041348479971282,1682,22,3.2958333,16.9,-8.4,1105.0,154.0,39.372616,1,163
46.89561728436122,11.86658447423014,1455,18,4.975,19.0,-6.9,925.0,136.0,45.888885,1,176
46.60366455436444,11.613648663238902,1234,17,7.0,21.4,-5.0,718.0,100.0,46.319126,1,196
46.58786135945356,11.208976376164053,594,31,10.104167,25.9,-3.7,737.0,91.0,35.89291,1,232
46.70418478455445,11.872162419463695,1381,16,5.7958336,19.9,-6.2,830.0,124.0,48.16494,1,108
46.72314481161225,11.954156204614048,1701,13,4.1041665,17.5,-7.0,959.0,136.0,43.538994,1,202
46.54268073532477,11.326379904082538,1219,2,7.4875,22.0,-4.3,626.0,86.0,46.390747,1,161
46.866192728605895,11.513296249032315,1063,17,7.2291665,21.8,-5.3,833.0,119.0,44.508083,1,217
46.61713294732987,11.866765119131644,1662,7,4.366667,18.0,-7.0,924.0,135.0,46.415344,1,115
46.60975414430544,10.781621323699676,890,18,8.620833,23.9,-4.5,604.0,81.0,40.338688,1,13
46.72649965208715,11.21345889358257,830,25,8.654166,23.8,-4.2,735.0,100.0,40.65775,1,275
46.54774589060285,11.69544092799202,1581,2,4.866667,18.8,-6.5,792.0,113.0,47.850155,1,38
46.74039941434829,11.43577304101998,1603,4,4.3458333,18.2,-6.9,748.0,106.0,46.93743,1,181
46.56569779003112,11.52480224307359,641,10,9.7625,25.3,-3.9,774.0,96.0,36.32468,1,323
46.25263267528175,11.253602783375406,688,19,9.695833,24.7,-3.2,707.0,83.0,34.458176,1,289
46.91499097215181,11.69023325235342,1516,4,4.4583335,18.4,-7.2,944.0,135.0,45.06555,1,168
46.88300081672436,11.719059773228317,1102,14,6.5916667,21.2,-6.2,882.0,130.0,45.72901,1,190
46.8920815335991,11.407146326332382,1396,18,5.7125,19.8,-5.9,833.0,118.0,47.058945,1,162
46.439694016427765,11.479957914985633,1116,21,7.7166667,22.4,-4.5,656.0,88.0,44.423054,1,239
46.87713260842906,11.492272443680095,1304,25,6.1666665,20.3,-5.6,850.0,120.0,46.69032,1,207
46.89012953717707,11.455083352876368,1038,17,7.225,21.9,-5.4,841.0,119.0,44.12329,1,267
46.48512789628533,11.438533921734685,600,20,9.970834,25.5,-3.6,768.0,91.0,34.238037,1,351
46.53931421594158,11.388833833101238,984,19,8.433333,23.4,-4.1,674.0,90.0,43.06085,1,272
46.87557337934325,11.49720301415909,1304,25,6.1666665,20.3,-5.6,850.0,120.0,46.69032,1,207
46.48833504854909,11.24696177673015,509,15,10.591666,26.4,-3.4,766.0,90.0,34.261936,1,66
46.48020445847947,11.26211888112004,337,4,11.354167,27.4,-3.0,815.0,99.0,32.560555,1,21
46.65019664168008,11.361238427619169,1065,10,7.366667,22.1,-5.1,715.0,99.0,45.146263,1,275
46.87631852966007,11.424746909111176,1169,18,6.5041666,20.9,-5.6,830.0,118.0,45.653587,1,356
46.86259739826822,11.484053217456225,1022,14,7.2625,21.9,-5.4,827.0,118.0,44.693424,1,17
46.74019373594007,11.437264466866798,1603,4,4.3458333,18.2,-6.9,748.0,106.0,46.93743,1,181
46.56460914288428,11.52396537711623,641,10,9.7625,25.3,-3.9,774.0,96.0,36.32468,1,323
46.26870126445248,11.241097905787203,213,8,11.520833,27.1,-2.3,840.0,101.0,28.30951,1,269
46.92747877937543,11.98977417877497,1513,24,4.445833,18.3,-7.4,964.0,139.0,43.46441,1,192
46.9021462855348,11.878095559361151,1682,21,4.0791664,17.4,-7.0,1020.0,145.0,42.269554,1,182
46.89989438416883,11.852021483227515,1430,17,5.0875,19.2,-6.8,918.0,135.0,45.82999,1,187
46.89643407515389,11.865901557067136,1455,18,4.975,19.0,-6.9,925.0,136.0,45.888885,1,176
46.89646703882785,11.867395073291538,1394,15,5.233333,19.4,-6.8,916.0,135.0,45.97783,1,165
46.89637252373677,11.844160396863264,1382,14,5.275,19.5,-6.8,910.0,134.0,45.994984,1,190
46.67603277951456,11.895321555901058,1190,5,6.5458336,21.2,-6.2,785.0,116.0,47.275887,1,39
46.24790657535332,11.230960311297313,255,14,11.458333,27.0,-2.3,838.0,100.0,28.079786,1,315
46.560657823103696,11.339124968962542,847,11,8.845833,23.9,-3.9,708.0,91.0,40.03786,1,77
46.74787409260564,11.197447381450196,826,28,8.408334,23.6,-4.5,749.0,102.0,40.81887,1,111
46.56973848954456,11.06542309194517,974,14,7.9666667,22.7,-4.3,628.0,83.0,42.960407,1,142
46.64849782638517,11.22636687849305,1322,11,6.6833334,21.1,-5.1,620.0,87.0,47.5362,1,239
46.66144823083201,11.550094220510193,883,6,8.333333,23.4,-4.9,785.0,107.0,41.713135,1,187
46.468636679615486,11.576134001648716,1407,11,5.7999997,19.8,-5.8,704.0,99.0,47.866608,1,251
46.44344118495835,11.54741290211031,1506,4,5.7208333,19.4,-5.3,672.0,95.0,49.145584,1,179
46.63950116804336,11.82720584631784,1905,15,3.075,16.0,-7.7,1021.0,143.0,41.25423,1,107
46.42571258112106,11.518282439974453,1151,4,7.325,21.7,-4.6,672.0,90.0,45.250668,1,196
46.52595188593724,11.254519342555655,313,15,11.125,27.0,-3.1,816.0,99.0,32.88058,1,252
46.53001328128115,11.260522868319416,592,21,10.129167,25.8,-3.6,745.0,90.0,35.416973,1,238
46.54784487281458,11.526224242529624,807,12,9.066667,24.5,-4.2,737.0,95.0,39.282543,1,250
46.57324028392899,11.530836104275089,664,17,9.6,25.1,-4.0,773.0,97.0,36.580376,1,263
46.58330328739591,11.167226915109625,382,19,10.679167,26.4,-3.1,781.0,91.0,33.244106,1,55
