Latitude,Longitude,Elevation,Slope,BIO01_Historical_Mean,BIO05_Historical_Max,BIO06_Historical_Min,BIO12_Historical_Prec,BIO13_Historical_Prec,BIO15_Historical_Prec,Aspect
46.70025318766257,12.370473526391768,1751,18,4.5874996,17.7,-6.5,1169.0,147.0,29.7,203
46.72475733759582,11.882005300940516,1377,20,6.979166,21.1,-4.6,849.0,122.0,41.7,70
46.52610318791323,11.734756064414018,2295,27,2.0166667,14.1,-8.1,1026.0,128.0,27.5,14
46.566466465786434,11.521634676710686,641,10,10.879166,26.5,-2.4,809.0,96.0,29.5,323
46.75969287038833,11.870043963369994,1052,11,8.329167,23.2,-4.3,824.0,117.0,38.6,292
46.94767585473534,11.378002835421038,1516,18,5.712501,19.8,-5.5,916.0,126.0,40.6,26
46.9473952832723,11.3779352366532,1516,18,5.712501,19.8,-5.5,916.0,126.0,40.6,26
46.94709615408428,11.378690394948324,1516,18,5.712501,19.8,-5.5,916.0,126.0,40.6,26
46.946773040112575,11.379843171799802,1516,18,5.712501,19.8,-5.5,916.0,126.0,40.6,26
46.75993691280068,11.847925174873554,1396,25,6.8541675,21.0,-4.6,856.0,123.0,41.6,59
46.56029869252121,11.626056480960663,1729,25,5.545833,19.1,-5.4,795.0,108.0,39.2,64
46.87445344187565,11.632217912804444,1711,18,4.9,18.4,-6.1,985.0,136.0,38.2,257
46.48011221071735,11.262021555596016,337,4,12.454169,28.6,-1.6,860.0,106.0,26.7,21
46.68544408885043,11.857774480107144,1454,4,6.504167,20.5,-4.8,875.0,124.0,40.9,26
46.7067818047877,11.92565708488216,1215,3,7.4625,22.1,-4.8,821.0,115.0,38.8,228
46.27249442627869,11.257424672285998,874,32,10.079166,25.0,-2.2,668.0,79.0,31.7,264
46.708081720083406,11.92627983272834,1215,3,7.4625,22.1,-4.8,821.0,115.0,38.8,228
46.55358509632782,11.758732545912777,1600,4,5.7958336,19.8,-5.7,875.0,120.0,39.6,313
46.65523772300796,11.90360360247025,1299,13,7.129167,21.6,-4.9,827.0,116.0,39.9,105
46.42706997495975,11.347703441683286,322,19,12.375,28.5,-1.4,865.0,110.0,26.5,294
46.602179328322414,11.200975361133583,530,29,11.541667,27.5,-2.0,790.0,93.0,28.8,245
46.57658896543343,11.382062629554724,725,5,10.258333,25.5,-2.4,780.0,95.0,31.6,295
46.593661967163,11.426217980144369,1685,11,5.470833,18.9,-5.5,688.0,94.0,41.1,229
46.599732907509264,11.419727224932666,1581,9,6.0750003,19.8,-5.0,680.0,94.0,42.0,237
46.57947246653492,11.413999309044732,1589,7,6.3333335,20.0,-4.7,657.0,90.0,41.7,197
46.56895393793644,11.404111130242566,1463,7,7.0750003,21.0,-4.1,655.0,89.0,42.1,198
46.563171896007695,11.388440045121506,1130,16,8.75,23.4,-3.0,688.0,92.0,39.6,229
46.55797584744096,11.38475725050779,849,10,9.933333,25.1,-2.5,743.0,93.0,33.6,234
46.29067917124432,11.209115251713408,227,12,12.729168,28.4,-1.0,881.0,108.0,22.7,96
46.59823943319239,11.547703792171662,738,9,10.366667,25.8,-2.7,797.0,99.0,31.7,337
46.81995606438851,11.76253150038226,1084,13,8.3625,23.1,-4.0,860.0,120.0,38.3,181
46.62033102857871,11.556723197137508,788,18,10.1375,25.5,-2.8,798.0,100.0,32.6,317
46.31551177362087,11.301302511742763,607,12,10.9375,26.3,-2.0,780.0,93.0,26.9,298
46.56778460464475,11.540068770566688,895,14,9.804168,25.1,-2.9,758.0,97.0,34.0,231
46.577920496571245,11.38305556409154,725,5,10.258333,25.5,-2.4,780.0,95.0,31.6,295
46.84585337775442,11.977607920007484,1447,17,6.5249996,20.6,-5.0,916.0,129.0,39.2,215
46.56351540398156,11.535036509633755,888,17,9.8375,25.2,-2.9,757.0,96.0,33.6,303
46.577628994736166,11.43701524099499,1608,10,6.058334,19.7,-5.0,682.0,93.0,40.9,169
46.59309452609384,11.405581659695024,1353,10,7.3333335,21.5,-4.1,685.0,93.0,42.1,315
46.59887056218217,11.411622135332376,1495,10,6.570833,20.5,-4.6,678.0,93.0,41.9,288
46.83778337652303,11.774752995740135,1422,14,6.85,20.9,-4.5,902.0,127.0,40.2,177
46.72101069462556,11.328381045912938,1357,12,6.904167,21.1,-4.6,755.0,104.0,41.7,88
46.72111417785404,11.32990261030352,1357,12,6.904167,21.1,-4.6,755.0,104.0,41.7,88
46.59728364257735,11.432862241925898,1685,11,5.470833,18.9,-5.5,688.0,94.0,41.1,229
46.59965871775758,11.43278984344614,1685,11,5.470833,18.9,-5.5,688.0,94.0,41.1,229
46.605993225706406,11.436878943488692,1929,9,4.1583333,17.0,-6.4,716.0,97.0,36.5,204
46.60144960649895,11.45015609788701,2033,4,3.6416667,16.3,-6.7,741.0,98.0,33.9,174
46.83717751481528,11.746833948494643,1268,9,7.5625005,21.9,-4.2,872.0,124.0,40.9,244
46.80178212056506,11.79549913232638,974,16,8.641666,23.6,-4.1,846.0,117.0,36.7,7
46.651279591892994,11.056340299887038,555,13,10.929166,26.5,-2.2,774.0,94.0,28.8,336
46.70221017921288,11.620871683956446,1131,15,8.4375,23.0,-3.6,798.0,108.0,38.7,130
46.62652354124516,10.943841935189424,669,17,10.516666,26.1,-2.5,719.0,89.0,30.6,342
46.52151048099524,11.264253569060376,313,14,12.312501,28.3,-1.6,861.0,106.0,26.9,213
46.64861464532045,11.854056145315123,1712,18,5.333334,18.8,-5.7,1001.0,136.0,36.5,138
46.64787034984689,11.852191378140448,1712,18,5.333334,18.8,-5.7,1001.0,136.0,36.5,138
46.58106323102008,11.912079676236733,1521,10,5.8624997,20.0,-5.9,909.0,126.0,40.2,356
46.672142602768986,11.169187763553072,365,3,12.087501,28.0,-1.5,835.0,98.0,27.8,231
46.65029430118548,11.135805778161394,447,22,11.470833,27.1,-1.7,806.0,96.0,28.7,85
