Latitude,Longitude,Elevation,Slope,BIO01_Historical_Mean,BIO05_Historical_Max,BIO06_Historical_Min,BIO12_Historical_Prec,BIO13_Historical_Prec,BIO15_Historical_Prec,Aspect
46.58106323102008,11.912079676236733,1521,10,9.333333,26.0,-2.1,806.0,102.0,33.2,356
46.672142602768986,11.169187763553072,365,3,15.549999,33.6,2.1,764.0,83.0,21.4,231
46.65029430118548,11.135805778161394,447,22,14.9375,32.7,1.9,735.0,80.0,22.3,85
46.76298064219909,12.066583086650136,1159,7,11.079167,28.3,-1.2,706.0,88.0,30.0,175
46.56474211054189,11.336796933951172,847,11,13.429168,30.7,1.1,671.0,78.0,27.3,77
46.721186155253,11.328648971632836,1357,12,10.366667,26.9,-0.5,680.0,89.0,35.2,88
46.60242389448595,11.915646191873424,1592,16,9.004167,25.5,-2.3,840.0,105.0,31.9,256
46.63163640711229,10.715930680815411,1071,9,12.370833,29.5,0.3,539.0,63.0,27.2,168
46.46832642739838,11.2306621940898,958,29,13.133334,30.3,0.8,610.0,73.0,29.9,85
46.72296137453804,11.955631857260682,1701,13,8.6875,24.7,-1.9,893.0,107.0,27.9,202
46.72296708943532,11.951003130370454,1701,13,8.6875,24.7,-1.9,893.0,107.0,27.9,202
46.50540291235454,11.502401596184503,846,8,13.566667,31.2,0.9,685.0,79.0,26.4,358
46.75554984880892,12.239903279222483,1483,8,9.541667,26.3,-2.0,846.0,100.0,27.7,152
46.758055890427954,12.24458847920171,1527,10,9.329166,26.0,-2.0,873.0,103.0,27.1,272
46.76013471607765,12.23768784317942,1592,11,9.025001,25.4,-2.0,915.0,107.0,25.5,163
46.74363326221582,12.228961150062972,1376,12,10.033333,27.1,-1.9,775.0,94.0,28.5,156
46.63204000438768,10.714924020369716,1071,9,12.370833,29.5,0.3,539.0,63.0,27.2,168
46.759081908167865,12.26130706815689,1652,8,8.658333,24.9,-2.3,955.0,111.0,24.7,241
46.7613255142583,12.240269943451406,1592,11,9.025001,25.4,-2.0,915.0,107.0,25.5,163
46.741654780876345,12.22789888865138,1304,9,10.366667,27.7,-1.9,729.0,89.0,29.6,230
46.743625325976645,12.220102462111294,1510,16,9.5,26.2,-2.0,845.0,100.0,26.7,168
46.76034609015564,11.783954816123524,1852,17,8.2625,23.7,-1.8,905.0,108.0,26.2,226
46.686077656924304,11.892476423846905,1121,4,11.4416685,28.7,-0.8,728.0,91.0,31.6,197
46.68471838140809,11.89388406720843,1121,4,11.4416685,28.7,-0.8,728.0,91.0,31.6,197
46.95368408625623,11.362479254241515,1358,12,9.654167,26.3,-1.1,833.0,107.0,31.8,48
46.788499996499816,11.950766690415678,905,2,12.295834,30.0,-0.7,764.0,91.0,27.0,333
46.9189940225061,11.798804122252683,1525,9,8.549999,25.3,-2.4,912.0,114.0,29.8,110
46.92023130520921,11.790426888456318,1695,13,7.7625003,24.1,-2.8,961.0,117.0,27.5,48
46.92170271868026,11.790269396827457,1695,13,7.7625003,24.1,-2.8,961.0,117.0,27.5,48
46.835484134011736,11.478829872683807,1391,13,9.833333,26.6,-0.9,764.0,100.0,34.1,115
47.02531923200996,12.041348479971282,1682,22,7.825001,24.1,-2.7,1047.0,122.0,23.4,163
46.89561728436122,11.86658447423014,1455,18,9.525,26.2,-1.5,863.0,108.0,30.2,176
46.60366455436444,11.613648663238902,1234,17,11.587501,28.4,0.0,669.0,83.0,32.7,196
46.58786135945356,11.208976376164053,594,31,14.6875,32.6,1.5,705.0,78.0,23.6,232
46.70418478455445,11.872162419463695,1381,16,10.383333,27.0,-1.0,767.0,98.0,33.1,108
46.72314481161225,11.954156204614048,1701,13,8.6875,24.7,-1.9,893.0,107.0,27.9,202
46.54268073532477,11.326379904082538,1219,2,12.070834,28.8,0.7,587.0,73.0,33.8,161
46.866192728605895,11.513296249032315,1063,17,11.783333,28.7,-0.0,782.0,96.0,29.6,217
46.61713294732987,11.866765119131644,1662,7,8.962501,25.1,-1.9,855.0,107.0,31.7,115
46.60975414430544,10.781621323699676,890,18,13.224999,30.6,0.8,574.0,67.0,25.9,13
46.72649965208715,11.21345889358257,830,25,13.216666,30.5,0.9,699.0,84.0,27.0,275
46.54774589060285,11.69544092799202,1581,2,9.470834,26.0,-1.5,735.0,93.0,33.9,38
46.74039941434829,11.43577304101998,1603,4,8.9125,25.2,-1.6,699.0,90.0,33.3,181
46.56569779003112,11.52480224307359,641,10,14.358334,32.2,1.2,735.0,83.0,23.8,323
46.25263267528175,11.253602783375406,688,19,14.291667,31.6,1.6,678.0,75.0,22.6,289
46.91499097215181,11.69023325235342,1516,4,9.004167,25.6,-1.7,884.0,111.0,30.4,168
46.88300081672436,11.719059773228317,1102,14,11.137501,28.3,-0.8,826.0,102.0,30.4,190
46.8920815335991,11.407146326332382,1396,18,10.258333,26.8,-0.5,781.0,102.0,32.9,162
46.439694016427765,11.479957914985633,1116,21,12.3125,29.3,0.4,611.0,74.0,31.7,239
46.87713260842906,11.492272443680095,1304,25,10.712501,27.3,-0.3,797.0,103.0,32.4,207
46.89012953717707,11.455083352876368,1038,17,11.770835,28.7,0.0,792.0,98.0,29.7,267
46.48512789628533,11.438533921734685,600,20,14.570834,32.4,1.4,733.0,81.0,21.9,351
46.53931421594158,11.388833833101238,984,19,13.033333,30.3,0.9,635.0,76.0,30.1,272
46.87557337934325,11.49720301415909,1304,25,10.712501,27.3,-0.3,797.0,103.0,32.4,207
46.48833504854909,11.24696177673015,509,15,15.1833315,33.1,1.7,734.0,82.0,22.6,66
46.48020445847947,11.26211888112004,337,4,15.945834,34.1,2.1,784.0,92.0,21.8,21
46.65019664168008,11.361238427619169,1065,10,11.941667,29.1,0.1,673.0,84.0,32.0,275
46.87631852966007,11.424746909111176,1169,18,11.049999,27.8,-0.3,781.0,99.0,31.0,356
46.86259739826822,11.484053217456225,1022,14,11.812501,28.9,-0.0,778.0,96.0,29.8,17
46.74019373594007,11.437264466866798,1603,4,8.9125,25.2,-1.6,699.0,90.0,33.3,181
46.56460914288428,11.52396537711623,641,10,14.358334,32.2,1.2,735.0,83.0,23.8,323
46.26870126445248,11.241097905787203,213,8,16.125,33.9,2.6,814.0,92.0,17.7,269
46.92747877937543,11.98977417877497,1513,24,9.0,25.4,-2.0,902.0,110.0,27.8,192
46.9021462855348,11.878095559361151,1682,21,8.629167,24.7,-1.7,957.0,114.0,26.7,182
46.89989438416883,11.852021483227515,1430,17,9.637499,26.4,-1.5,856.0,107.0,30.2,187
46.89643407515389,11.865901557067136,1455,18,9.525,26.2,-1.5,863.0,108.0,30.2,176
46.89646703882785,11.867395073291538,1394,15,9.783334,26.6,-1.4,855.0,107.0,30.2,165
46.89637252373677,11.844160396863264,1382,14,9.825,26.7,-1.5,849.0,106.0,30.4,190
46.67603277951456,11.895321555901058,1190,5,11.133332,28.2,-0.9,726.0,91.0,32.4,39
46.24790657535332,11.230960311297313,255,14,16.079168,33.8,2.5,807.0,91.0,17.0,315
46.560657823103696,11.339124968962542,847,11,13.429168,30.7,1.1,671.0,78.0,27.3,77
46.74787409260564,11.197447381450196,826,28,12.975001,30.3,0.6,711.0,85.0,27.1,111
46.56973848954456,11.06542309194517,974,14,12.558334,29.5,0.8,596.0,71.0,30.1,142
46.64849782638517,11.22636687849305,1322,11,11.254167,27.9,0.1,583.0,74.0,34.4,239
46.66144823083201,11.550094220510193,883,6,12.912499,30.5,0.3,740.0,89.0,28.4,187
46.468636679615486,11.576134001648716,1407,11,10.404166,26.8,-0.6,652.0,83.0,35.2,251
46.44344118495835,11.54741290211031,1506,4,10.329165,26.5,-0.4,623.0,79.0,36.3,179
46.63950116804336,11.82720584631784,1905,15,7.6666665,23.2,-2.7,955.0,113.0,26.6,107
46.42571258112106,11.518282439974453,1151,4,11.929168,28.7,0.3,627.0,78.0,32.8,196
46.52595188593724,11.254519342555655,313,15,15.720833,33.8,2.0,786.0,93.0,22.5,252
46.53001328128115,11.260522868319416,592,21,14.724999,32.5,1.5,713.0,78.0,23.6,238
46.54784487281458,11.526224242529624,807,12,13.662499,31.4,0.8,696.0,80.0,26.4,250
46.57324028392899,11.530836104275089,664,17,14.195834,32.0,1.1,734.0,82.0,23.9,263
46.58330328739591,11.167226915109625,382,19,15.258334,33.1,1.9,750.0,85.0,21.7,55
46.39199813061816,11.482740839096952,1209,7,11.7,28.4,0.1,600.0,75.0,33.9,357
46.38303068367002,11.272011655078606,254,10,16.320833,34.4,2.4,804.0,95.0,19.9,250
46.413875918142,11.494176214619394,1090,7,12.229167,29.1,0.3,616.0,76.0,32.4,299
46.66155396550288,11.187660233289549,430,13,15.329167,33.4,2.0,752.0,82.0,22.0,260
46.38311065436588,11.282819980970345,433,0,15.670834,33.6,2.0,757.0,88.0,21.1,21
46.72428011180981,11.880097661211282,1377,20,10.445833,27.1,-1.0,756.0,97.0,33.6,70
46.480319154985,11.262216920293232,337,4,15.945834,34.1,2.1,784.0,92.0,21.8,21
46.68658413249887,10.607653928695283,1707,24,9.2,25.4,-1.9,480.0,55.0,24.9,150
46.57910727148798,11.611715682593298,1420,11,10.587501,27.2,-0.4,661.0,84.0,34.2,335
46.53716167219623,11.777808740454702,1964,12,7.3416667,22.8,-3.2,908.0,111.0,28.8,287
46.350618864502486,11.33670232844682,944,12,13.1375,30.3,0.9,600.0,71.0,28.5,204
