Datum,Latitude,Longitude,UUID,MOVEMENT_C,MOVEMENT_D,Rainfall_7d_mm,Rainfall_14d_mm,Rainfall_21d_mm,SoilMoisture_0.05m,SoilMoisture_0.25m,SoilMoisture_0.7m,SoilMoisture_1.5m,Temperature_500hPa_K,Temperature_700hPa_K,Temperature_850hPa_K,GroundTemperature_K,Slope_5x5km_avg,Slope_5x5km_median,Slope_5x5km_min,Slope_5x5km_max,Slope_2x2km_avg,Slope_2x2km_median,Slope_2x2km_min,Slope_2x2km_max,Slope_1x1km_avg,Slope_1x1km_median,Slope_1x1km_min,Slope_1x1km_max,Slope_500x500m_avg,Slope_500x500m_median,Slope_500x500m_min,Slope_500x500m_max,Slope_250x250m_avg,Slope_250x250m_median,Slope_250x250m_min,Slope_250x250m_max,Slope_100x100m_avg,Slope_100x100m_median,Slope_100x100m_min,Slope_100x100m_max,Slope_50x50m_avg,Slope_50x50m_median,Slope_50x50m_min,Slope_50x50m_max,Slope_30x30m_avg,Slope_30x30m_median,Slope_30x30m_min,Slope_30x30m_max,Slope_10x10m_avg,Slope_10x10m_median,Slope_10x10m_min,Slope_10x10m_max
2022-07-21 13:00:00,46.47729670734878,10.676586852327551,random-0117-no-landslide,99.0,No Rutschung,121.4210205078125,144.47509765625,185.51519775390625,,,,,,,,289.05224609375,54.46083450317383,50.072452545166016,0.10884442925453186,426.2949523925781,47.32021713256836,40.979164123535156,0.2763638496398926,369.15667724609375,44.33671188354492,32.668235778808594,0.358398973941803,369.15667724609375,29.458175659179688,23.345016479492188,0.358398973941803,208.46151733398438,28.02352523803711,23.64002227783203,1.7820318937301636,208.46151733398438,19.997970581054688,19.06096076965332,5.756651878356934,47.31842041015625,17.650266647338867,18.0198917388916,6.066943645477295,31.0131778717041,18.059701919555664,15.674901008605957,10.373147010803223,31.0131778717041,31.0131778717041,31.0131778717041,31.0131778717041,31.0131778717041
2023-06-13 19:00:00,46.30731638983179,11.387201665541712,random-0118-no-landslide,99.0,No Rutschung,59.220458984375,192.78326416015625,227.554931640625,0.3406575322151184,0.32292240858078,0.3164896368980407,0.2971621751785278,255.576416015625,273.70703125,286.741455078125,287.794189453125,,,,,44.11143112182617,35.3450927734375,0.2368573397397995,405.9015197753906,48.20464324951172,40.62823486328125,0.3676440119743347,335.6758728027344,38.2741584777832,32.51694869995117,1.1439541578292847,296.7976379394531,29.407615661621094,28.86630630493164,1.1439541578292847,73.99711608886719,25.562328338623047,23.875919342041016,8.571432113647461,50.024169921875,19.18535804748535,19.30608558654785,9.225764274597168,31.06900405883789,18.793928146362305,17.62688636779785,11.832464218139648,31.06900405883789,11.832464218139648,11.832464218139648,11.832464218139648,11.832464218139648
2023-09-18 04:00:00,46.36729896409494,11.385888847321738,random-0119-no-landslide,99.0,No Rutschung,39.5023193359375,39.53717041015625,111.72604370117188,0.2801653742790222,0.2828554511070251,0.2885507941246032,0.2980140447616577,248.7345123291016,261.69171142578125,273.363525390625,286.97265625,39.8610954284668,30.209182739257812,0.09414121508598328,663.39208984375,37.21162796020508,29.88172149658203,0.15915825963020325,388.0927734375,26.746837615966797,24.996915817260742,0.15915825963020325,180.8057098388672,27.7718505859375,27.69456672668457,0.6783208847045898,105.2524642944336,27.668855667114258,28.298255920410156,1.0993564128875732,76.83184051513672,25.609722137451172,25.89398956298828,2.610579252243042,63.36137008666992,18.637264251708984,18.49380111694336,6.262922763824463,31.766712188720703,18.41748809814453,18.373916625976562,7.009985446929932,28.59364891052246,14.159286499023438,14.159286499023438,14.159286499023438,14.159286499023438
2017-01-28 09:00:00,46.26770198670849,11.715565684530656,random-0120-no-landslide,99.0,No Rutschung,0.0,0.8271484375,4.51153564453125,0.2852277159690857,0.2958778142929077,0.3052559494972229,0.3003029823303222,250.9720458984375,266.05126953125,272.337646484375,268.47607421875,49.543609619140625,41.992767333984375,0.14605234563350677,537.0086059570312,42.785850524902344,41.07429504394531,2.659268617630005,225.21400451660156,45.7254753112793,42.365074157714844,2.659268617630005,175.59371948242188,42.68941879272461,42.1391716003418,12.244827270507812,98.74378967285156,,,,,,,,,,,,,,,,,,,,
2021-01-23 02:00:00,46.62988242543324,11.670847989960729,random-0122-no-landslide,99.0,No Rutschung,17.2259521484375,30.198883056640625,38.58706665039063,0.2694895565509796,0.2802281379699707,0.2876795530319214,0.2869433462619781,253.92271423339844,272.083251953125,285.3291015625,271.22265625,59.3101692199707,57.06500244140625,0.2228160947561264,403.1644287109375,65.61799621582031,64.00896453857422,1.831948161125183,403.1644287109375,77.26582336425781,75.87164306640625,11.369763374328613,304.0630798339844,91.47041320800781,86.95597839355469,32.44742202758789,304.0630798339844,93.48419952392578,88.68391418457031,35.43767547607422,189.8016357421875,86.83928680419922,84.02743530273438,35.43767547607422,189.8016357421875,83.23938751220703,83.98648071289062,55.9916877746582,115.47477722167969,78.0571060180664,79.27799224853516,55.9916877746582,95.44334411621094,79.27799224853516,79.27799224853516,79.27799224853516,79.27799224853516
2025-04-22 15:00:00,46.35912745857868,11.732245597615382,random-0123-no-landslide,99.0,No Rutschung,,,,0.2637228369712829,0.2690765261650085,0.2759418785572052,0.2833198308944702,264.6226806640625,279.505126953125,286.350341796875,,95.57005310058594,72.85884857177734,0.07047705352306366,2325.887451171875,122.8248291015625,92.00164794921875,4.178880214691162,2325.887451171875,125.46202087402344,98.72354125976562,5.3203816413879395,1097.3677978515625,127.30107879638672,99.07392883300781,11.558662414550781,1097.3677978515625,,,,,,,,,,,,,,,,,,,,
2017-06-30 07:00:00,46.68745369380349,12.258706701179106,random-0125-no-landslide,99.0,No Rutschung,56.85321044921875,85.8717041015625,121.0565185546875,0.2948207855224609,0.2797665596008301,0.2784057557582855,0.2745688557624817,260.363525390625,275.86376953125,288.048828125,284.56494140625,108.0869140625,81.50489807128906,0.19311939179897308,1946.0885009765625,125.4323959350586,93.00967407226562,0.19311939179897308,1794.2293701171875,125.3926010131836,85.43899536132812,6.555036544799805,1381.536376953125,120.74800872802734,77.44627380371094,6.830550670623779,799.7638549804688,116.93875885009766,74.83906555175781,19.48850440979004,799.7638549804688,111.4900894165039,80.15623474121094,57.48398971557617,636.296142578125,125.73835754394531,85.31568908691406,61.46684646606445,261.0778503417969,123.48777770996094,79.94934844970703,66.27890014648438,217.03770446777344,79.94934844970703,79.94934844970703,79.94934844970703,79.94934844970703
2024-01-13 02:00:00,46.33172256048574,11.572688619438422,random-0126-no-landslide,99.0,No Rutschung,20.300048828125,43.2130126953125,43.2130126953125,0.2702803611755371,0.2444285154342651,0.2357036769390106,0.2431069016456604,255.4584808349609,272.818359375,279.150146484375,,85.26930236816406,69.68572998046875,0.40042251348495483,2007.344970703125,96.05332946777344,76.5096206665039,1.2885003089904785,1082.266845703125,89.14027404785156,62.390342712402344,1.920182704925537,889.2551879882812,50.626773834228516,35.98588943481445,2.514510154724121,427.3348388671875,,,,,,,,,,,,,,,,,,,,
2017-03-19 13:00:00,46.97873308140131,11.520796865504265,random-0127-no-landslide,99.0,No Rutschung,1.5869140625,40.64324951171875,85.77850341796875,0.2976115942001343,0.3073036670684814,0.3142616152763366,0.3210471272468567,258.9395751953125,275.704833984375,287.957763671875,273.159912109375,60.296661376953125,55.592529296875,0.14037247002124786,920.46826171875,60.301876068115234,55.50129699707031,0.157185897231102,592.0543212890625,52.99083709716797,48.17781066894531,0.157185897231102,592.0543212890625,39.66091537475586,38.83171081542969,0.157185897231102,190.8936309814453,31.287912368774414,30.680696487426758,0.7606216669082642,72.76235961914062,38.099639892578125,38.12809753417969,2.6457557678222656,62.714576721191406,47.28662109375,47.53098678588867,16.251285552978516,62.714576721191406,52.69752502441406,51.336116790771484,46.44691848754883,62.714576721191406,54.82429885864258,54.82429885864258,54.82429885864258,54.82429885864258
2025-05-03 16:00:00,46.74794791796303,12.034679605793878,random-0128-no-landslide,99.0,No Rutschung,,,,0.1893128156661987,0.1892319321632385,0.1828198134899139,0.1430162042379379,247.90919494628903,259.7301025390625,263.3956604003906,,39.397743225097656,37.065364837646484,0.06996045261621475,475.6156921386719,32.61634826660156,27.774160385131836,0.28677263855934143,197.48631286621094,35.52080535888672,30.269222259521484,1.2424609661102295,197.48631286621094,36.01076126098633,31.110923767089844,4.066662788391113,142.401611328125,26.148574829101562,24.441204071044922,6.719688415527344,60.68961715698242,25.16244888305664,24.478763580322266,16.970783233642578,40.221435546875,23.7729549407959,23.55735969543457,18.061216354370117,29.414411544799805,22.524211883544922,23.131059646606445,18.061216354370117,26.071474075317383,23.38143539428711,23.38143539428711,23.38143539428711,23.38143539428711
