Datum,Latitude,Longitude,UUID,MOVEMENT_C,MOVEMENT_D,GroundTemperature_K
2021-06-18 00:00:00,46.57658896543343,11.382062629554724,0bb2d894-562a-11ee-aa67-0242ac13000b,5.0,Schnelles Fliessen (Mure),290.968505859375
2021-06-18 00:00:00,46.593661967163,11.426217980144369,2fec1204-f887-11ec-8f15-0242ac13000d,2.0,Gleitung rotational/translational,290.968505859375
2021-06-18 00:00:00,46.599732907509264,11.419727224932666,8952a19c-f886-11ec-abd1-0242ac13000d,2.0,Gleitung rotational/translational,290.968505859375
2021-06-18 00:00:00,46.57947246653492,11.413999309044733,df391e98-f885-11ec-accc-0242ac13000d,2.0,Gleitung rotational/translational,290.968505859375
2021-06-18 00:00:00,46.568953937936435,11.404111130242566,8a231b7a-f885-11ec-b340-0242ac13000d,2.0,Gleitung rotational/translational,290.968505859375
2021-06-18 00:00:00,46.563171896007695,11.388440045121506,3dd7adb2-f885-11ec-933a-0242ac13000d,2.0,Gleitung rotational/translational,290.968505859375
2021-06-18 00:00:00,46.55797584744096,11.38475725050779,335d9f0a-f884-11ec-8050-0242ac13000d,2.0,Gleitung rotational/translational,290.968505859375
2022-07-01 00:00:00,46.29067917124432,11.209115251713408,cf2d2d2a-b9f8-11ed-aac4-0242ac130003,2.0,Gleitung rotational/translational,292.91748046875
2021-07-06 00:00:00,46.59823943319239,11.547703792171662,bd494554-f88c-11ec-858d-0242ac13000d,2.0,Gleitung rotational/translational,287.53271484375
2022-05-19 00:00:00,46.81995606438851,11.76253150038226,d485c23e-b9f1-11ed-beb0-0242ac130003,2.0,Gleitung rotational/translational,286.16162109375
2022-04-19 00:00:00,46.62033102857871,11.556723197137508,3d498a4a-b9f1-11ed-a8bd-0242ac130003,2.0,Gleitung rotational/translational,279.01416015625
2022-03-14 00:00:00,46.31551177362087,11.301302511742765,f9e8b58a-b9e8-11ed-8ebb-0242ac130003,2.0,Gleitung rotational/translational,275.43115234375
2021-06-17 00:00:00,46.56778460464475,11.540068770566688,d79aca54-cae7-11ec-a82e-0242ac13000d,5.0,Schnelles Fliessen (Mure),291.1142578125
2021-06-17 00:00:00,46.577920496571245,11.38305556409154,55151b5e-cafe-11ec-a5fe-0242ac13000d,5.0,Schnelles Fliessen (Mure),290.4599609375
2021-08-05 00:00:00,46.84585337775442,11.977607920007483,c33e0ce4-cafe-11ec-9be2-0242ac13000d,2.0,Gleitung rotational/translational,284.81689453125
2021-06-18 04:00:00,46.563515403981555,11.535036509633757,54fe5cfc-cae5-11ec-baee-0242ac13000d,2.0,Gleitung rotational/translational,290.779296875
2021-06-18 00:00:00,46.577628994736166,11.43701524099499,d9ff7544-cae5-11ec-a4b9-0242ac13000d,2.0,Gleitung rotational/translational,290.968505859375
2021-06-18 00:00:00,46.593094526093836,11.405581659695024,35dc4920-cae4-11ec-8a8f-0242ac13000d,2.0,Gleitung rotational/translational,290.968505859375
2021-06-18 00:00:00,46.59887056218217,11.411622135332376,6d733fba-cb02-11ec-bb84-0242ac13000d,2.0,Gleitung rotational/translational,290.968505859375
2021-08-04 00:00:00,46.83778337652303,11.774752995740137,9d5b59f2-7321-11ed-a180-0242ac13000b,5.0,Schnelles Fliessen (Mure),284.970458984375
2015-09-14 15:30:00,46.721010694625555,11.328381045912938,5b06d8c4-7321-11ed-b705-0242ac13000b,2.0,Gleitung rotational/translational,285.942138671875
2015-09-14 15:30:00,46.72111417785404,11.329902610303519,29fbd932-7321-11ed-b705-0242ac13000b,2.0,Gleitung rotational/translational,285.942138671875
2021-06-18 00:00:00,46.597283642577345,11.432862241925898,3ce3b582-cb02-11ec-9cae-0242ac13000d,2.0,Gleitung rotational/translational,290.968505859375
2021-06-18 00:00:00,46.59965871775758,11.43278984344614,2951106c-cae6-11ec-99ea-0242ac13000d,2.0,Gleitung rotational/translational,290.968505859375
2021-06-18 00:00:00,46.605993225706406,11.436878943488692,056ccd32-cb02-11ec-9e5b-0242ac13000d,2.0,Gleitung rotational/translational,287.005615234375
2021-06-18 00:00:00,46.60144960649895,11.45015609788701,a71f272a-cae3-11ec-8855-0242ac13000d,2.0,Gleitung rotational/translational,290.968505859375
2020-08-11 00:00:00,46.83717751481528,11.746833948494643,fcac6b12-cae3-11ec-8d2f-0242ac13000d,2.0,Gleitung rotational/translational,288.642822265625
2020-08-11 00:00:00,46.80178212056506,11.795499132326379,02c59a42-cb01-11ec-801d-0242ac13000d,2.0,Gleitung rotational/translational,288.623291015625
2020-12-06 00:00:00,46.651279591892994,11.056340299887038,5a343280-cb00-11ec-b654-0242ac13000d,2.0,Gleitung rotational/translational,273.159912109375
2019-11-16 00:00:00,46.702210179212884,11.620871683956446,b9768842-cae2-11ec-84ed-0242ac13000d,2.0,Gleitung rotational/translational,272.97552490234375
2017-12-27 00:00:00,46.62652354124516,10.943841935189424,864bf798-4e46-11ee-a00a-0242ac13000b,2.0,Gleitung rotational/translational,270.366455078125
2016-06-28 03:00:00,46.52151048099524,11.264253569060376,9742ad98-0447-11ed-9000-0242ac13000d,2.0,Gleitung rotational/translational,288.197265625
2016-04-15 00:00:00,46.64861464532045,11.854056145315123,2b81ea80-0459-11ed-929d-0242ac13000d,2.0,Gleitung rotational/translational,272.995361328125
2016-04-15 00:00:00,46.64787034984689,11.852191378140448,de5e6e34-045a-11ed-9f68-0242ac13000d,2.0,Gleitung rotational/translational,272.995361328125
2016-07-12 17:30:00,46.58106323102008,11.912079676236733,aa117746-0448-11ed-8c62-0242ac13000d,2.0,Gleitung rotational/translational,288.788818359375
2021-01-24 00:00:00,46.672142602768986,11.169187763553072,65b6bcec-f88f-11ec-9bf8-0242ac13000d,2.0,Gleitung rotational/translational,269.166259765625
2021-01-26 00:00:00,46.65029430118548,11.135805778161394,304ac8fc-f892-11ec-b21d-0242ac13000d,2.0,Gleitung rotational/translational,265.77178955078125
2021-02-27 00:30:00,46.76298064219909,12.066583086650137,460ad1c4-f8b4-11ec-b985-0242ac13000d,2.0,Gleitung rotational/translational,268.843994140625
2021-02-26 00:00:00,46.56474211054189,11.336796933951172,7c7a31b4-f8b9-11ec-965e-0242ac13000d,2.0,Gleitung rotational/translational,272.5703125
2015-09-14 15:30:00,46.721186155253,11.328648971632836,4e886a3c-3031-11ed-9617-0242ac13000d,2.0,Gleitung rotational/translational,285.942138671875
2016-08-30 00:00:00,46.60242389448595,11.915646191873424,b1bdbda0-3031-11ed-a080-0242ac13000d,2.0,Gleitung rotational/translational,283.294921875
2022-08-01 00:00:00,46.63163640711229,10.715930680815411,348bbee0-a2e6-11ed-acab-0242ac13000f,2.0,Gleitung rotational/translational,287.315673828125
2022-09-06 00:00:00,46.46832642739838,11.2306621940898,f107daa6-c03a-11ed-8172-0242ac130003,2.0,Gleitung rotational/translational,292.201904296875
2022-08-31 00:00:00,46.72296137453804,11.955631857260682,e587c12c-c03b-11ed-b80b-0242ac130003,2.0,Gleitung rotational/translational,285.771240234375
2022-08-31 00:00:00,46.72296708943532,11.951003130370454,627b2642-c03c-11ed-b5f8-0242ac130003,2.0,Gleitung rotational/translational,285.771240234375
2022-12-04 00:00:00,46.50540291235454,11.502401596184503,200586a6-c35f-11ed-9244-0242ac130003,2.0,Gleitung rotational/translational,273.5673828125
