Datum,Latitude,Longitude,UUID,MOVEMENT_C,MOVEMENT_D,Rainfall_7d_mm,Rainfall_14d_mm,Rainfall_21d_mm,Soil_L1_5cm,Soil_L2_25cm,Soil_L3_70cm,Soil_L4_150cm,Slope,Slope_Mean_30m,Slope_Max_30m
2024-02-10 00:00:00,46.70025318766257,12.370473526391768,88312458-fa9c-11ef-b94d-ea6559d31cf8,2.0,Gleitung rotational/translational,4.80712890625,5.008819580078125,6.807159423828125,0.2323031425476074,0.2356579303741455,0.2423902302980423,0.2522835731506347,83.29827117919922,69.01436869303386,89.75115966796875
2024-02-03 00:00:00,46.72475733759582,11.882005300940516,f1cb0346-bd1d-11ef-84d1-0242ac120012,2.0,Gleitung rotational/translational,0.073516845703125,0.769866943359375,2.756683349609375,0.2339051365852356,0.2373886108398437,0.2443327605724334,0.2544198036193847,88.78904724121094,85.18957095675998,93.89307403564453
2024-11-03 00:00:00,46.566466465786434,11.521634676710686,c307625e-0afa-11f0-84e3-c270514588df,5.0,Schnelles Fliessen (Mure),,,,0.3254773020744324,0.2960549592971802,0.2653633058071136,0.2214150577783584,77.31143951416016,78.04678683810764,106.76429748535156
2024-04-06 00:00:00,46.75969287038833,11.870043963369994,9b9cd8de-0afa-11f0-abb1-c270514588df,5.0,Schnelles Fliessen (Mure),8.50665283203125,35.51947021484375,41.11602783203125,0.2814709544181824,0.2782479524612427,0.2747932374477386,0.2752480804920196,46.64801025390625,57.89393573337131,78.98079681396484
2024-01-04 00:00:00,46.94767585473534,11.378002835421038,b5222930-1388-11f0-9c02-c270514588df,2.0,Gleitung rotational/translational,7.40350341796875,21.81329345703125,24.19183349609375,0.1983240246772766,0.2049593329429626,0.2112374454736709,0.2201791256666183,90.84026336669922,83.55740144517686,109.18317413330078
2024-01-04 00:00:00,46.9473952832723,11.3779352366532,a7a0417a-1388-11f0-9c02-c270514588df,2.0,Gleitung rotational/translational,7.40350341796875,21.81329345703125,24.19183349609375,0.1983240246772766,0.2049593329429626,0.2112374454736709,0.2201791256666183,45.00428771972656,64.4867337544759,127.92446899414062
2024-01-04 00:00:00,46.94709615408428,11.378690394948324,9a30eb98-1388-11f0-895b-c270514588df,5.0,Schnelles Fliessen (Mure),7.40350341796875,21.81329345703125,24.19183349609375,0.1983240246772766,0.2049593329429626,0.2112374454736709,0.2201791256666183,76.41075134277344,87.62010913425021,111.61832427978516
2024-01-04 00:00:00,46.946773040112575,11.379843171799802,868dfa7c-1388-11f0-895b-c270514588df,5.0,Schnelles Fliessen (Mure),7.40350341796875,21.81329345703125,24.19183349609375,0.1983240246772766,0.2049593329429626,0.2112374454736709,0.2201791256666183,53.616249084472656,63.020927005343964,77.14239501953125
2025-08-04 00:00:00,46.52686259422656,11.761390970767248,5f878344-7378-11f0-8574-b2374db36148,2.0,Gleitung rotational/translational,,,,0.2657391428947449,0.2552682161331177,0.2467475682497024,0.2417092472314834,15.464362144470215,17.43485058678521,20.95403480529785
2024-11-07 09:00:00,46.75993691280068,11.847925174873554,37a0dbcc-0afb-11f0-9778-c270514588df,5.0,Schnelles Fliessen (Mure),,,,0.2814709544181824,0.2782479524612427,0.2747932374477386,0.2752480804920196,97.62774658203125,83.20076582166884,97.62774658203125
2024-11-07 23:00:00,46.87445344187565,11.632217912804444,71103b34-dc82-11ef-ad9c-0242ac12000f,5.0,Schnelles Fliessen (Mure),,,,0.2881848216056824,0.2838937044143677,0.2723060548305511,0.2565865814685821,121.11868286132812,122.15193345811632,154.1018829345703
2024-12-07 10:00:00,46.27249442627869,11.257424672285998,773063b4-f2b1-11ef-a786-0242ac120004,5.0,Schnelles Fliessen (Mure),,,,0.3274151682853699,0.2959023714065552,0.2698036134243011,0.2650246918201446,313.3658142089844,307.0795194837782,559.8394775390625
2024-09-10 21:00:00,46.55358509632782,11.758732545912777,f89c5246-81b3-11f0-9d27-b2374db36148,2.0,Gleitung rotational/translational,,,,0.2829968333244324,0.2747384309768677,0.2580848634243011,0.2473397403955459,96.97318267822266,80.01470608181424,143.52056884765625
2025-06-02 00:00:00,46.85197540125251,11.560480684262265,b1a54cec-62f7-11f0-a475-f6c58cc4d7d9,2.0,Gleitung rotational/translational,,,,0.3263012766838074,0.3297311067581177,0.3171516358852386,0.3061929047107696,62.40150833129883,51.213912116156685,76.3235092163086
2025-08-04 09:30:00,46.47662379967731,11.491657574780866,46b884a8-660d-11f0-a7e7-f6c58cc4d7d9,2.0,Gleitung rotational/translational,,,,0.3229443430900574,0.3017007112503052,0.2876258790493011,0.2796731293201446,78.23225402832031,59.45270919799805,78.23225402832031
2025-09-04 12:00:00,46.52636050371843,11.517000035723958,432c3a3c-660d-11f0-894b-f6c58cc4d7d9,7.0,Komplexe Rutschung,,,,0.3229443430900574,0.3017007112503052,0.2876258790493011,0.2796731293201446,85.30062103271484,73.03406863742404,85.30062103271484
2025-09-04 10:00:00,46.48819630359704,11.41844783088126,40d2bbd0-660d-11f0-9fbd-f6c58cc4d7d9,2.0,Gleitung rotational/translational,,,,0.3259961009025574,0.2899972200393677,0.2427955418825149,0.1670327335596084,85.47945404052734,84.73307969835069,97.57769775390625
2025-02-07 08:00:00,46.667431906299925,11.024598813953675,2171af3c-71cd-11f0-9abc-b2374db36148,5.0,Schnelles Fliessen (Mure),,,,0.3154522776603699,0.2962228059768677,0.2688728272914886,0.2637276947498321,63.64061737060547,62.14986716376411,79.13990783691406
2020-01-10 00:00:00,46.65523772300796,11.90360360247025,04e6d318-6897-11f0-bea8-b2374db36148,2.0,Gleitung rotational/translational,0.001556396484375,0.13153076171875,30.53521728515625,0.2470908164978027,0.2516241073608398,0.2595095634460449,0.2693672776222229,81.05213928222656,66.8615010579427,82.51395416259766
