Datum,Latitude,Longitude,UUID,MOVEMENT_C,MOVEMENT_D,Rainfall_7d_mm,Rainfall_14d_mm,Rainfall_21d_mm
2024-10-02 00:00:00,46.70025318766257,12.370473526391768,88312458-fa9c-11ef-b94d-ea6559d31cf8,2.0,Gleitung rotational/translational,,,
2024-03-02 00:00:00,46.72475733759582,11.882005300940516,f1cb0346-bd1d-11ef-84d1-0242ac120012,2.0,Gleitung rotational/translational,22.8045654296875,59.568359375,67.05303955078125
2025-01-26 12:00:00,46.901296913541735,11.432047680262576,e15195c2-0339-11f0-8535-ea6559d31cf8,5.0,Schnelles Fliessen (Mure),,,
2024-07-20 17:00:00,46.52610318791323,11.734756064414018,0271563c-0f99-11f0-82ec-c270514588df,5.0,Schnelles Fliessen (Mure),,,
2025-03-19 00:00:00,46.5088767316685,11.109059659637175,d363530c-6864-11f0-ac9d-b2374db36148,7.0,Komplexe Rutschung,,,
2025-03-25 00:00:00,46.49571262010921,11.13983250671594,ba0b546e-663d-11f0-a89f-f6c58cc4d7d9,2.0,Gleitung rotational/translational,,,
2025-03-25 00:00:00,46.491476016758654,11.136312461506318,cbe7bd34-6864-11f0-9b77-b2374db36148,2.0,Gleitung rotational/translational,,,
2025-03-25 00:00:00,46.50697469140433,11.107082649584571,b3e684fa-663d-11f0-a89f-f6c58cc4d7d9,2.0,Gleitung rotational/translational,,,
2024-03-11 00:00:00,46.566466465786434,11.521634676710686,c307625e-0afa-11f0-84e3-c270514588df,5.0,Schnelles Fliessen (Mure),39.49749755859375,65.07769775390625,103.18011474609375
2024-06-04 00:00:00,46.75969287038833,11.870043963369994,9b9cd8de-0afa-11f0-abb1-c270514588df,5.0,Schnelles Fliessen (Mure),,,
2024-04-01 00:00:00,46.94767585473534,11.378002835421038,b5222930-1388-11f0-9c02-c270514588df,2.0,Gleitung rotational/translational,32.7593994140625,44.1348876953125,48.340240478515625
2024-04-01 00:00:00,46.9473952832723,11.377935236653201,a7a0417a-1388-11f0-9c02-c270514588df,2.0,Gleitung rotational/translational,32.7593994140625,44.1348876953125,48.340240478515625
2024-04-01 00:00:00,46.94709615408428,11.378690394948324,9a30eb98-1388-11f0-895b-c270514588df,5.0,Schnelles Fliessen (Mure),32.7593994140625,44.1348876953125,48.340240478515625
2024-04-01 00:00:00,46.946773040112575,11.379843171799802,868dfa7c-1388-11f0-895b-c270514588df,5.0,Schnelles Fliessen (Mure),32.7593994140625,44.1348876953125,48.340240478515625
2025-04-08 00:00:00,46.526862594226564,11.761390970767248,5f878344-7378-11f0-8574-b2374db36148,2.0,Gleitung rotational/translational,,,
2024-07-11 09:00:00,46.759936912800676,11.847925174873554,37a0dbcc-0afb-11f0-9778-c270514588df,5.0,Schnelles Fliessen (Mure),,,
2024-07-13 03:00:00,46.56029869252121,11.626056480960665,b050dfb0-dc82-11ef-9444-0242ac12000f,5.0,Schnelles Fliessen (Mure),,,
2024-07-11 23:00:00,46.87445344187565,11.632217912804444,71103b34-dc82-11ef-ad9c-0242ac12000f,5.0,Schnelles Fliessen (Mure),,,
2024-07-15 20:00:00,46.48011221071735,11.262021555596016,66957c4c-d96b-11ef-b0e8-0242ac12000f,2.0,Gleitung rotational/translational,,,
2024-07-18 04:00:00,46.68544408885043,11.857774480107143,519dec02-d96b-11ef-b0e8-0242ac12000f,5.0,Schnelles Fliessen (Mure),,,
2024-07-17 18:00:00,46.7067818047877,11.92565708488216,a5216174-f2b1-11ef-8b28-0242ac120004,5.0,Schnelles Fliessen (Mure),,,
2024-07-12 10:00:00,46.27249442627869,11.257424672285998,773063b4-f2b1-11ef-a786-0242ac120004,5.0,Schnelles Fliessen (Mure),,,
2024-07-21 17:00:00,46.708081720083406,11.926279832728339,648daf50-f2b1-11ef-a284-0242ac120004,5.0,Schnelles Fliessen (Mure),,,
2024-10-09 21:00:00,46.55358509632782,11.758732545912775,f89c5246-81b3-11f0-9d27-b2374db36148,2.0,Gleitung rotational/translational,,,
2025-02-06 00:00:00,46.85197540125251,11.560480684262263,b1a54cec-62f7-11f0-a475-f6c58cc4d7d9,2.0,Gleitung rotational/translational,,,
2025-03-26 00:00:00,46.47978818163081,11.455724191223666,1d3ea524-660f-11f0-b920-f6c58cc4d7d9,2.0,Gleitung rotational/translational,,,
2025-03-26 00:00:00,46.478182435378734,11.467852574337355,1a648dfa-660f-11f0-8c80-f6c58cc4d7d9,7.0,Komplexe Rutschung,,,
2025-03-31 00:00:00,46.450459865617425,11.45070183777107,f87f44d4-660c-11f0-bdff-f6c58cc4d7d9,11.0,Gebiete mit diffus verteilten Oberflächenrutschungen,,,
2025-03-26 10:30:00,46.43594137031846,11.467217193009596,fdab5fce-660c-11f0-9c99-f6c58cc4d7d9,2.0,Gleitung rotational/translational,,,
2025-04-08 09:30:00,46.47662379967731,11.491657574780866,46b884a8-660d-11f0-a7e7-f6c58cc4d7d9,2.0,Gleitung rotational/translational,,,
2025-04-09 12:00:00,46.52636050371843,11.517000035723958,432c3a3c-660d-11f0-894b-f6c58cc4d7d9,7.0,Komplexe Rutschung,,,
2025-04-09 10:00:00,46.488196303597036,11.418447830881261,40d2bbd0-660d-11f0-9fbd-f6c58cc4d7d9,2.0,Gleitung rotational/translational,,,
2025-07-02 08:00:00,46.667431906299925,11.024598813953677,2171af3c-71cd-11f0-9abc-b2374db36148,5.0,Schnelles Fliessen (Mure),,,
2020-10-01 00:00:00,46.65523772300796,11.90360360247025,04e6d318-6897-11f0-bea8-b2374db36148,2.0,Gleitung rotational/translational,32.8955078125,65.52252197265625,110.195556640625
2020-12-07 00:00:00,46.42706997495975,11.347703441683286,62ff62ec-f88a-11ec-a2b8-0242ac13000d,5.0,Schnelles Fliessen (Mure),144.54443359375,144.54443359375,148.71356201171875
2020-12-07 00:00:00,46.602179328322414,11.200975361133583,18ad6a22-f88a-11ec-b4f3-0242ac13000d,2.0,Gleitung rotational/translational,140.94189453125,140.94189453125,149.1151123046875
2021-06-18 00:00:00,46.57658896543343,11.382062629554724,0bb2d894-562a-11ee-aa67-0242ac13000b,5.0,Schnelles Fliessen (Mure),12.38531494140625,35.239013671875,42.53218078613281
2021-06-18 00:00:00,46.593661967163,11.426217980144369,2fec1204-f887-11ec-8f15-0242ac13000d,2.0,Gleitung rotational/translational,12.38531494140625,35.239013671875,42.53218078613281
2021-06-18 00:00:00,46.599732907509264,11.419727224932666,8952a19c-f886-11ec-abd1-0242ac13000d,2.0,Gleitung rotational/translational,12.38531494140625,35.239013671875,42.53218078613281
2021-06-18 00:00:00,46.57947246653492,11.413999309044733,df391e98-f885-11ec-accc-0242ac13000d,2.0,Gleitung rotational/translational,12.38531494140625,35.239013671875,42.53218078613281
2021-06-18 00:00:00,46.568953937936435,11.404111130242566,8a231b7a-f885-11ec-b340-0242ac13000d,2.0,Gleitung rotational/translational,12.38531494140625,35.239013671875,42.53218078613281
2021-06-18 00:00:00,46.563171896007695,11.388440045121506,3dd7adb2-f885-11ec-933a-0242ac13000d,2.0,Gleitung rotational/translational,12.38531494140625,35.239013671875,42.53218078613281
2021-06-18 00:00:00,46.55797584744096,11.38475725050779,335d9f0a-f884-11ec-8050-0242ac13000d,2.0,Gleitung rotational/translational,12.38531494140625,35.239013671875,42.53218078613281
2022-07-01 00:00:00,46.29067917124432,11.209115251713408,cf2d2d2a-b9f8-11ed-aac4-0242ac130003,2.0,Gleitung rotational/translational,12.81298828125,18.72509765625,20.26318359375
2021-07-06 00:00:00,46.59823943319239,11.547703792171662,bd494554-f88c-11ec-858d-0242ac13000d,2.0,Gleitung rotational/translational,44.3934326171875,56.2091064453125,75.1126708984375
2022-05-19 00:00:00,46.81995606438851,11.76253150038226,d485c23e-b9f1-11ed-beb0-0242ac130003,2.0,Gleitung rotational/translational,31.680450439453125,43.280487060546875,58.737548828125
2022-04-19 00:00:00,46.62033102857871,11.556723197137508,3d498a4a-b9f1-11ed-a8bd-0242ac130003,2.0,Gleitung rotational/translational,0.1384897232055664,3.4346323013305664,13.717225074768066
2022-03-14 00:00:00,46.31551177362087,11.301302511742765,f9e8b58a-b9e8-11ed-8ebb-0242ac130003,2.0,Gleitung rotational/translational,0.023529052734375,0.027252197265625,0.027252197265625
2021-06-17 00:00:00,46.56778460464475,11.540068770566688,d79aca54-cae7-11ec-a82e-0242ac13000d,5.0,Schnelles Fliessen (Mure),3.14581298828125,12.5784912109375,14.9200439453125
2021-06-17 00:00:00,46.577920496571245,11.38305556409154,55151b5e-cafe-11ec-a5fe-0242ac13000d,5.0,Schnelles Fliessen (Mure),7.53546142578125,27.98223876953125,38.49189758300781
2021-08-05 00:00:00,46.84585337775442,11.977607920007483,c33e0ce4-cafe-11ec-9be2-0242ac13000d,2.0,Gleitung rotational/translational,31.19879150390625,48.54801940917969,56.80754089355469
2021-06-18 04:00:00,46.563515403981555,11.535036509633757,54fe5cfc-cae5-11ec-baee-0242ac13000d,2.0,Gleitung rotational/translational,5.16729736328125,15.13995361328125,17.160888671875
2021-06-18 00:00:00,46.577628994736166,11.43701524099499,d9ff7544-cae5-11ec-a4b9-0242ac13000d,2.0,Gleitung rotational/translational,12.38531494140625,35.239013671875,42.53218078613281
2021-06-18 00:00:00,46.593094526093836,11.405581659695024,35dc4920-cae4-11ec-8a8f-0242ac13000d,2.0,Gleitung rotational/translational,12.38531494140625,35.239013671875,42.53218078613281
2021-06-18 00:00:00,46.59887056218217,11.411622135332376,6d733fba-cb02-11ec-bb84-0242ac13000d,2.0,Gleitung rotational/translational,12.38531494140625,35.239013671875,42.53218078613281
2021-08-04 00:00:00,46.83778337652303,11.774752995740137,9d5b59f2-7321-11ed-a180-0242ac13000b,5.0,Schnelles Fliessen (Mure),19.80792236328125,27.338287353515625,37.253448486328125
2015-09-14 15:30:00,46.721010694625555,11.328381045912938,5b06d8c4-7321-11ed-b705-0242ac13000b,2.0,Gleitung rotational/translational,39.93962097167969,73.18058776855469,77.69645690917969
2015-09-14 15:30:00,46.72111417785404,11.329902610303519,29fbd932-7321-11ed-b705-0242ac13000b,2.0,Gleitung rotational/translational,39.93962097167969,73.18058776855469,77.69645690917969
2021-06-18 00:00:00,46.597283642577345,11.432862241925898,3ce3b582-cb02-11ec-9cae-0242ac13000d,2.0,Gleitung rotational/translational,12.38531494140625,35.239013671875,42.53218078613281
2021-06-18 00:00:00,46.59965871775758,11.43278984344614,2951106c-cae6-11ec-99ea-0242ac13000d,2.0,Gleitung rotational/translational,12.38531494140625,35.239013671875,42.53218078613281
2021-06-18 00:00:00,46.605993225706406,11.436878943488692,056ccd32-cb02-11ec-9e5b-0242ac13000d,2.0,Gleitung rotational/translational,34.91668701171875,136.30889892578125,147.0433349609375
2021-06-18 00:00:00,46.60144960649895,11.45015609788701,a71f272a-cae3-11ec-8855-0242ac13000d,2.0,Gleitung rotational/translational,12.38531494140625,35.239013671875,42.53218078613281
2020-08-11 00:00:00,46.83717751481528,11.746833948494643,fcac6b12-cae3-11ec-8d2f-0242ac13000d,2.0,Gleitung rotational/translational,12.2213134765625,94.2296142578125,104.0966796875
2020-08-11 00:00:00,46.80178212056506,11.795499132326379,02c59a42-cb01-11ec-801d-0242ac13000d,2.0,Gleitung rotational/translational,14.612060546875,91.9002685546875,97.2637939453125
2020-12-06 00:00:00,46.651279591892994,11.056340299887038,5a343280-cb00-11ec-b654-0242ac13000d,2.0,Gleitung rotational/translational,92.494384765625,92.494384765625,100.36553955078125
2019-11-16 00:00:00,46.702210179212884,11.620871683956446,b9768842-cae2-11ec-84ed-0242ac13000d,2.0,Gleitung rotational/translational,103.45648193359375,136.58489990234375,161.65066528320312
2017-12-27 00:00:00,46.62652354124516,10.943841935189424,864bf798-4e46-11ee-a00a-0242ac13000b,2.0,Gleitung rotational/translational,1.94512939453125,2.703857421875,58.5753173828125
2016-06-28 03:00:00,46.52151048099524,11.264253569060376,9742ad98-0447-11ed-9000-0242ac13000d,2.0,Gleitung rotational/translational,9.360748291015625,45.398529052734375,60.488983154296875
2016-04-15 00:00:00,46.64861464532045,11.854056145315123,2b81ea80-0459-11ed-929d-0242ac13000d,2.0,Gleitung rotational/translational,49.147216796875,63.74517822265625,72.9805908203125
2016-04-15 00:00:00,46.64787034984689,11.852191378140448,de5e6e34-045a-11ed-9f68-0242ac13000d,2.0,Gleitung rotational/translational,49.147216796875,63.74517822265625,72.9805908203125
2016-07-12 17:30:00,46.58106323102008,11.912079676236733,aa117746-0448-11ed-8c62-0242ac13000d,2.0,Gleitung rotational/translational,79.417724609375,188.04000854492188,247.86868286132812
2021-01-24 00:00:00,46.672142602768986,11.169187763553072,65b6bcec-f88f-11ec-9bf8-0242ac13000d,2.0,Gleitung rotational/translational,21.292144775390625,26.423553466796875,27.725799560546875
2021-01-26 00:00:00,46.65029430118548,11.135805778161394,304ac8fc-f892-11ec-b21d-0242ac13000d,2.0,Gleitung rotational/translational,21.291778564453125,26.423553466796875,26.790740966796875
2021-02-27 00:30:00,46.76298064219909,12.066583086650137,460ad1c4-f8b4-11ec-b985-0242ac13000d,2.0,Gleitung rotational/translational,0.0,1.8449859619140625,36.86119079589844
2021-02-26 00:00:00,46.56474211054189,11.336796933951172,7c7a31b4-f8b9-11ec-965e-0242ac13000d,2.0,Gleitung rotational/translational,0.0,0.068756103515625,23.919097900390625
2015-09-14 15:30:00,46.721186155253,11.328648971632836,4e886a3c-3031-11ed-9617-0242ac13000d,2.0,Gleitung rotational/translational,39.93962097167969,73.18058776855469,77.69645690917969
2016-08-30 00:00:00,46.60242389448595,11.915646191873424,b1bdbda0-3031-11ed-a080-0242ac13000d,2.0,Gleitung rotational/translational,40.72021484375,125.894775390625,237.4830322265625
2022-08-01 00:00:00,46.63163640711229,10.715930680815411,348bbee0-a2e6-11ed-acab-0242ac13000f,2.0,Gleitung rotational/translational,7.9906005859375,17.7830810546875,23.34576416015625
2022-09-06 00:00:00,46.46832642739838,11.2306621940898,f107daa6-c03a-11ed-8172-0242ac130003,2.0,Gleitung rotational/translational,18.074676513671875,18.609588623046875,35.657501220703125
2022-08-31 00:00:00,46.72296137453804,11.955631857260682,e587c12c-c03b-11ed-b80b-0242ac130003,2.0,Gleitung rotational/translational,10.34130859375,32.8231201171875,46.0592041015625
2022-08-31 00:00:00,46.72296708943532,11.951003130370454,627b2642-c03c-11ed-b5f8-0242ac130003,2.0,Gleitung rotational/translational,10.34130859375,32.8231201171875,46.0592041015625
2022-12-04 00:00:00,46.50540291235454,11.502401596184503,200586a6-c35f-11ed-9244-0242ac130003,2.0,Gleitung rotational/translational,11.178253173828125,26.003082275390625,30.346649169921875
