Datum,Latitude,Longitude,UUID,MOVEMENT_C,MOVEMENT_D,Temperature_500hPa_K,Temperature_700hPa_K,Temperature_850hPa_K
2019-01-07 00:00:00,46.759081908167865,12.26130706815689,0508ba4a-1efd-11ee-847e-0242ac13000b,2.0,Gleitung rotational/translational,247.4031524658203,261.26507568359375,270.08837890625
2019-01-07 00:00:00,46.7613255142583,12.240269943451406,3631d7ec-1f29-11ee-a347-0242ac13000b,2.0,Gleitung rotational/translational,247.4119415283203,261.16009521484375,269.88720703125
2019-01-11 00:00:00,46.741654780876345,12.22789888865138,07b20b46-1cca-11ee-8395-0242ac13000b,2.0,Gleitung rotational/translational,240.8681640625,256.3484802246094,264.89453125
2019-01-12 00:00:00,46.743625325976645,12.220102462111294,6b0d0c08-5c6d-11ee-baa5-0242ac13000b,2.0,Gleitung rotational/translational,249.53334045410156,262.36328125,267.068603515625
2022-05-08 17:30:00,46.686077656924304,11.892476423846905,3df94fa4-c363-11ed-9a4b-0242ac130003,5.0,Schnelles Fliessen (Mure),253.77357482910156,270.57147216796875,283.4927978515625
2022-05-08 17:30:00,46.68471838140809,11.89388406720843,832947aa-c363-11ed-a9d2-0242ac130003,5.0,Schnelles Fliessen (Mure),253.77357482910156,270.57147216796875,283.4927978515625
2021-05-08 00:00:00,46.9189940225061,11.798804122252683,f2923a9c-47b9-11ec-8af6-0242ac13000d,2.0,Gleitung rotational/translational,251.20811462402344,264.512451171875,272.50537109375
2021-05-08 00:00:00,46.92023130520921,11.790426888456318,33508812-47bb-11ec-b403-0242ac13000d,2.0,Gleitung rotational/translational,251.20811462402344,264.512451171875,272.50537109375
2021-05-08 00:00:00,46.92170271868026,11.790269396827455,744c7fe2-47bb-11ec-a6b8-0242ac13000d,2.0,Gleitung rotational/translational,251.20811462402344,264.512451171875,272.50537109375
2021-05-08 00:00:00,46.835484134011736,11.478829872683807,6f743094-47bd-11ec-a502-0242ac13000d,5.0,Schnelles Fliessen (Mure),251.65538024902344,265.066162109375,273.0849609375
2021-04-05 00:00:00,46.70418478455445,11.872162419463697,8751ee12-5295-11ec-8250-0242ac13000d,2.0,Gleitung rotational/translational,251.51889038085938,265.962890625,270.6142578125
2021-04-06 00:00:00,46.72314481161225,11.954156204614048,5e63b688-5296-11ec-9454-0242ac13000d,2.0,Gleitung rotational/translational,246.6524200439453,261.7718811035156,271.0859375
2021-05-10 00:00:00,46.54268073532477,11.326379904082538,243e2de6-b04a-11ec-a59c-0242ac13000d,2.0,Gleitung rotational/translational,258.608154296875,273.49560546875,281.860595703125
2021-05-08 00:00:00,46.866192728605895,11.513296249032317,e6c36268-47be-11ec-ab1e-0242ac13000d,2.0,Gleitung rotational/translational,251.65538024902344,265.066162109375,273.0849609375
2021-10-06 00:00:00,46.61713294732987,11.866765119131644,c28cea70-585d-11ee-8594-0242ac13000b,2.0,Gleitung rotational/translational,255.4755859375,271.505126953125,280.625
2018-09-01 06:10:00,46.60975414430544,10.781621323699675,acf80e96-c566-11ec-8cc0-0242ac13000d,5.0,Schnelles Fliessen (Mure),257.431640625,271.90966796875,282.005126953125
2021-09-06 00:00:00,46.54774589060285,11.69544092799202,f4dd460c-d361-11ef-b025-0242ac120003,2.0,Gleitung rotational/translational,258.0667724609375,274.2890625,282.067626953125
2021-05-08 00:00:00,46.56569779003112,11.52480224307359,d60a9f16-3e60-11ec-a759-0242ac13000d,2.0,Gleitung rotational/translational,251.97080993652344,265.597412109375,274.68359375
2021-05-08 00:00:00,46.91499097215181,11.69023325235342,2565a18a-25db-11ec-a20e-0242ac130002,2.0,Gleitung rotational/translational,251.31114196777344,264.694091796875,272.56005859375
2021-05-08 00:00:00,46.88300081672436,11.719059773228315,4047b88c-25de-11ec-823f-0242ac130002,2.0,Gleitung rotational/translational,251.41612243652344,264.798095703125,273.029296875
2021-09-08 00:00:00,46.8920815335991,11.407146326332382,ad6bea96-25de-11ec-83a5-0242ac130002,2.0,Gleitung rotational/translational,258.3406066894531,274.489990234375,282.741943359375
2021-05-08 00:00:00,46.439694016427765,11.479957914985631,7bad5f94-3899-11ec-b20a-0242ac130002,2.0,Gleitung rotational/translational,252.03184509277344,266.577392578125,275.353515625
2021-05-08 00:00:00,46.87713260842906,11.492272443680097,fc0d508c-2786-11ec-9924-0242ac130002,2.0,Gleitung rotational/translational,251.65538024902344,265.066162109375,273.0849609375
2021-09-08 00:00:00,46.89012953717707,11.455083352876368,22ceb5e8-389a-11ec-82e3-0242ac130002,2.0,Gleitung rotational/translational,258.3406066894531,274.489990234375,282.741943359375
2021-05-08 00:00:00,46.48512789628533,11.438533921734685,aaa42eb6-389b-11ec-aac5-0242ac130002,2.0,Gleitung rotational/translational,252.13096618652344,266.102783203125,275.2900390625
2021-05-08 00:00:00,46.53931421594158,11.388833833101238,a1bf39c0-389c-11ec-8aad-0242ac130002,2.0,Gleitung rotational/translational,252.13536071777344,265.766845703125,275.173828125
